PatType,TheDateTime,Arrivals,Exits,Occupancy,DayType,TheWeekDay,TheTime,TheDate,UsedIt,deltaArr,deltaExit,deltaOcc
ART,35076.29167,2,1,7.75,Weekday,6,0.291666667,35076,-1,0,5,-5
ART,35076.33333,3,6,4.066666667,Weekday,6,0.333333333,35076,-1,0,-5,0
ART,35076.375,1,3,4.1,Weekday,6,0.375,35076,-1,0,1,-1
ART,35076.41667,5,3,3.383333333,Weekday,6,0.416666667,35076,-1,0,-1,6.03961E-14
ART,35076.45833,1,4,4.533333333,Weekday,6,0.458333333,35076,-1,0,0,-3.01981E-14
ART,35076.5,5,2,3.366666667,Weekday,6,0.5,35076,-1,0,0,-9.76996E-15
ART,35076.54167,2,1,5.933333333,Weekday,6,0.541666667,35076,-1,0,1,-1
ART,35076.58333,1,4,3.133333333,Weekday,6,0.583333333,35076,-1,0,-1,0
ART,35076.625,0,3,1,Weekday,6,0.625,35076,-1,0,0,0
ART,35076.66667,1,0,0.366666667,Weekday,6,0.666666667,35076,-1,0,0,-8.04912E-15
ART,35076.70833,0,1,0.75,Weekday,6,0.708333333,35076,-1,0,0,0
ART,35076.75,0,0,0,Weekday,6,0.75,35076,-1,0,0,0
ART,35076.79167,0,0,0,Weekday,6,0.791666667,35076,-1,0,0,0
ART,35076.83333,0,0,0,Weekday,6,0.833333333,35076,-1,0,0,0
ART,35076.875,0,0,0,Weekday,6,0.875,35076,-1,0,0,0
ART,35076.91667,0,0,0,Weekday,6,0.916666667,35076,-1,0,0,0
ART,35076.95833,0,0,0,Weekday,6,0.958333333,35076,-1,0,0,0
ART,35077,0,0,0,Weekend,7,0,35077,-1,0,0,0
ART,35077.04167,0,0,0,Weekend,7,0.041666667,35077,-1,0,0,0
ART,35077.08333,0,0,0,Weekend,7,0.083333333,35077,-1,0,0,0
ART,35077.125,0,0,0,Weekend,7,0.125,35077,-1,0,0,0
ART,35077.16667,0,0,0,Weekend,7,0.166666667,35077,-1,0,0,0
ART,35077.20833,0,0,0,Weekend,7,0.208333333,35077,-1,0,0,0
ART,35077.25,0,0,0,Weekend,7,0.25,35077,-1,0,0,0
ART,35077.29167,0,0,0,Weekend,7,0.291666667,35077,-1,0,0,0
ART,35077.33333,0,0,0,Weekend,7,0.333333333,35077,-1,0,0,0
ART,35077.375,0,0,0,Weekend,7,0.375,35077,-1,0,0,0
ART,35077.41667,0,0,0,Weekend,7,0.416666667,35077,-1,0,0,0
